,matchday,date,home_team,final_result,away_team,home_goals,away_goals,winner
0,1,1963-08-24,Werder Bremen,3-2,Borussia Dortmund,3,2,0
1,1,1963-08-24,1. FC Saarbrücken,0-2,1. FC Köln,0,2,2
2,1,1963-08-24,TSV 1860 München,1-1,Eintracht Braunschweig,1,1,1
3,1,1963-08-24,Eintracht Frankfurt,1-1,1. FC Kaiserslautern,1,1,1
4,1,1963-08-24,FC Schalke 04,2-0,VfB Stuttgart,2,0,0
5,1,1963-08-24,Preussen Münster,1-1,Hamburger SV,1,1,1
6,1,1963-08-24,Karlsruher SC,1-4,MSV Duisburg,1,4,2
7,1,1963-08-24,Hertha BSC,1-1,1. FC Nürnberg,1,1,1
8,2,1963-08-31,Eintracht Braunschweig,1-0,Preussen Münster,1,0,0
9,2,1963-08-31,MSV Duisburg,3-1,Eintracht Frankfurt,3,1,0
10,2,1963-08-31,VfB Stuttgart,2-0,Hertha BSC,2,0,0
11,2,1963-08-31,1. FC Kaiserslautern,2-3,FC Schalke 04,2,3,2
12,2,1963-08-31,Borussia Dortmund,3-3,TSV 1860 München,3,3,1
13,2,1963-08-31,1. FC Nürnberg,3-0,Werder Bremen,3,0,0
14,2,1963-08-31,Hamburger SV,4-2,1. FC Saarbrücken,4,2,0
15,2,1963-08-31,1. FC Köln,4-0,Karlsruher SC,4,0,0
16,3,1963-09-07,Hertha BSC,2-2,1. FC Kaiserslautern,2,2,1
17,3,1963-09-07,1. FC Saarbrücken,2-2,Eintracht Braunschweig,2,2,1
18,3,1963-09-07,Preussen Münster,4-2,MSV Duisburg,4,2,0
19,3,1963-09-07,Werder Bremen,2-2,VfB Stuttgart,2,2,1
20,3,1963-09-07,TSV 1860 München,1-3,1. FC Köln,1,3,2
21,3,1963-09-07,Eintracht Frankfurt,2-3,1. FC Nürnberg,2,3,2
22,3,1963-09-07,Karlsruher SC,0-4,Hamburger SV,0,4,2
23,3,1963-09-07,FC Schalke 04,3-1,Borussia Dortmund,3,1,0
24,4,1963-09-14,MSV Duisburg,1-3,Hertha BSC,1,3,2
25,4,1963-09-14,1. FC Köln,2-2,FC Schalke 04,2,2,1
26,4,1963-09-14,1. FC Nürnberg,2-2,Preussen Münster,2,2,1
27,4,1963-09-14,Borussia Dortmund,2-1,1. FC Saarbrücken,2,1,0
28,4,1963-09-14,Hamburger SV,3-0,Eintracht Frankfurt,3,0,0
29,4,1963-09-14,VfB Stuttgart,1-1,TSV 1860 München,1,1,1
30,4,1963-09-14,1. FC Kaiserslautern,3-0,Werder Bremen,3,0,0
31,4,1963-09-14,Eintracht Braunschweig,2-0,Karlsruher SC,2,0,0
32,5,1963-09-21,Eintracht Frankfurt,3-0,Eintracht Braunschweig,3,0,0
33,5,1963-09-21,Werder Bremen,1-1,MSV Duisburg,1,1,1
34,5,1963-09-21,TSV 1860 München,3-0,1. FC Kaiserslautern,3,0,0
35,5,1963-09-21,Karlsruher SC,1-3,Borussia Dortmund,1,3,2
36,5,1963-09-21,Preussen Münster,4-2,VfB Stuttgart,4,2,0
37,5,1963-09-21,1. FC Saarbrücken,3-5,1. FC Nürnberg,3,5,2
38,5,1963-09-21,FC Schalke 04,1-0,Hamburger SV,1,0,0
39,5,1963-09-21,Hertha BSC,0-3,1. FC Köln,0,3,2
40,6,1963-10-05,Eintracht Braunschweig,4-3,FC Schalke 04,4,3,0
41,6,1963-10-05,Hamburger SV,5-1,Hertha BSC,5,1,0
42,6,1963-10-05,1. FC Nürnberg,2-4,Karlsruher SC,2,4,2
43,6,1963-10-05,VfB Stuttgart,3-1,1. FC Saarbrücken,3,1,0
44,6,1963-10-05,Borussia Dortmund,3-0,Eintracht Frankfurt,3,0,0
45,6,1963-10-05,1. FC Kaiserslautern,0-0,Preussen Münster,0,0,1
46,6,1963-10-05,1. FC Köln,4-3,Werder Bremen,4,3,0
47,6,1963-10-05,MSV Duisburg,3-0,TSV 1860 München,3,0,0
48,7,1963-10-12,Eintracht Frankfurt,2-1,1. FC Köln,2,1,0
49,7,1963-10-12,Hertha BSC,1-2,Eintracht Braunschweig,1,2,2
50,7,1963-10-12,TSV 1860 München,5-0,1. FC Nürnberg,5,0,0
51,7,1963-10-12,Karlsruher SC,0-3,VfB Stuttgart,0,3,2
52,7,1963-10-12,FC Schalke 04,2-2,MSV Duisburg,2,2,1
53,7,1963-10-12,1. FC Saarbrücken,2-4,1. FC Kaiserslautern,2,4,2
54,7,1963-10-12,Werder Bremen,4-2,Hamburger SV,4,2,0
55,7,1963-10-12,Preussen Münster,1-2,Borussia Dortmund,1,2,2
56,8,1963-10-19,Eintracht Braunschweig,1-1,Werder Bremen,1,1,1
57,8,1963-10-19,Borussia Dortmund,7-2,Hertha BSC,7,2,0
58,8,1963-10-19,1. FC Kaiserslautern,1-0,Karlsruher SC,1,0,0
59,8,1963-10-19,MSV Duisburg,3-1,1. FC Saarbrücken,3,1,0
60,8,1963-10-19,1. FC Köln,3-0,Preussen Münster,3,0,0
61,8,1963-10-19,1. FC Nürnberg,0-2,FC Schalke 04,0,2,2
62,8,1963-10-19,Hamburger SV,5-0,TSV 1860 München,5,0,0
63,8,1963-10-19,VfB Stuttgart,0-0,Eintracht Frankfurt,0,0,1
64,9,1963-10-26,1. FC Saarbrücken,1-3,Karlsruher SC,1,3,2
65,9,1963-10-26,Hertha BSC,1-3,Eintracht Frankfurt,1,3,2
66,9,1963-10-26,1. FC Nürnberg,0-5,1. FC Kaiserslautern,0,5,2
67,9,1963-10-26,1. FC Köln,3-3,MSV Duisburg,3,3,1
68,9,1963-10-26,Preussen Münster,0-0,TSV 1860 München,0,0,1
69,9,1963-10-26,FC Schalke 04,2-3,Werder Bremen,2,3,2
70,9,1963-10-26,VfB Stuttgart,2-1,Borussia Dortmund,2,1,0
71,9,1963-10-26,Hamburger SV,2-1,Eintracht Braunschweig,2,1,0
72,10,1963-11-08,Eintracht Braunschweig,1-1,1. FC Köln,1,1,1
73,10,1963-11-09,Karlsruher SC,4-2,Preussen Münster,4,2,0
74,10,1963-11-09,Borussia Dortmund,3-1,1. FC Nürnberg,3,1,0
75,10,1963-11-09,Eintracht Frankfurt,4-2,FC Schalke 04,4,2,0
76,10,1963-11-09,MSV Duisburg,4-0,Hamburger SV,4,0,0
77,10,1963-11-09,1. FC Kaiserslautern,1-3,VfB Stuttgart,1,3,2
78,10,1963-11-09,TSV 1860 München,7-1,1. FC Saarbrücken,7,1,0
79,10,1963-11-09,Werder Bremen,2-2,Hertha BSC,2,2,1
80,11,1963-11-16,Borussia Dortmund,9-3,1. FC Kaiserslautern,9,3,0
81,11,1963-11-16,1. FC Köln,4-1,Hamburger SV,4,1,0
82,11,1963-11-16,Eintracht Braunschweig,0-0,MSV Duisburg,0,0,1
83,11,1963-11-16,VfB Stuttgart,1-0,1. FC Nürnberg,1,0,0
84,11,1963-11-16,TSV 1860 München,1-0,Karlsruher SC,1,0,0
85,11,1963-11-16,Werder Bremen,4-1,Eintracht Frankfurt,4,1,0
86,11,1963-11-16,1. FC Saarbrücken,1-1,Preussen Münster,1,1,1
87,11,1963-11-16,FC Schalke 04,1-0,Hertha BSC,1,0,0
88,12,1963-11-23,MSV Duisburg,3-3,Borussia Dortmund,3,3,1
89,12,1963-11-23,1. FC Nürnberg,2-2,1. FC Köln,2,2,1
90,12,1963-11-23,Hamburger SV,1-1,VfB Stuttgart,1,1,1
91,12,1963-11-23,Eintracht Frankfurt,5-2,TSV 1860 München,5,2,0
92,12,1963-11-23,Preussen Münster,2-2,FC Schalke 04,2,2,1
93,12,1963-11-23,1. FC Kaiserslautern,2-1,Eintracht Braunschweig,2,1,0
94,12,1963-11-23,Hertha BSC,3-2,1. FC Saarbrücken,3,2,0
95,12,1963-11-23,Karlsruher SC,1-1,Werder Bremen,1,1,1
96,13,1963-11-30,FC Schalke 04,2-1,TSV 1860 München,2,1,0
97,13,1963-11-30,Borussia Dortmund,2-3,1. FC Köln,2,3,2
98,13,1963-11-30,Eintracht Frankfurt,3-0,Preussen Münster,3,0,0
99,13,1963-11-30,VfB Stuttgart,5-0,Eintracht Braunschweig,5,0,0
100,13,1963-11-30,Werder Bremen,0-3,1. FC Saarbrücken,0,3,2
101,13,1963-11-30,Hertha BSC,2-3,Karlsruher SC,2,3,2
102,13,1963-11-30,1. FC Nürnberg,2-0,MSV Duisburg,2,0,0
103,13,1963-11-30,1. FC Kaiserslautern,3-2,Hamburger SV,3,2,0
104,14,1963-12-07,1. FC Köln,5-1,1. FC Kaiserslautern,5,1,0
105,14,1963-12-07,MSV Duisburg,3-0,VfB Stuttgart,3,0,0
106,14,1963-12-07,Preussen Münster,1-3,Werder Bremen,1,3,2
107,14,1963-12-07,Karlsruher SC,1-1,FC Schalke 04,1,1,1
108,14,1963-12-07,Eintracht Braunschweig,2-0,1. FC Nürnberg,2,0,0
109,14,1963-12-07,1. FC Saarbrücken,0-4,Eintracht Frankfurt,0,4,2
110,14,1963-12-07,TSV 1860 München,1-2,Hertha BSC,1,2,2
111,15,1963-12-14,VfB Stuttgart,0-1,1. FC Köln,0,1,2
112,15,1963-12-14,FC Schalke 04,4-1,1. FC Saarbrücken,4,1,0
113,15,1963-12-14,1. FC Kaiserslautern,1-1,MSV Duisburg,1,1,1
114,15,1963-12-14,Werder Bremen,4-1,TSV 1860 München,4,1,0
115,15,1963-12-14,Hertha BSC,2-0,Preussen Münster,2,0,0
116,15,1963-12-14,1. FC Nürnberg,3-2,Hamburger SV,3,2,0
117,15,1963-12-14,Borussia Dortmund,3-0,Eintracht Braunschweig,3,0,0
118,15,1963-12-14,Eintracht Frankfurt,0-3,Karlsruher SC,0,3,2
119,14,1963-12-21,Hamburger SV,2-1,Borussia Dortmund,2,1,0
120,16,1964-01-11,1. FC Nürnberg,2-3,Hertha BSC,2,3,2
121,16,1964-01-11,MSV Duisburg,2-0,Karlsruher SC,2,0,0
122,16,1964-01-11,Borussia Dortmund,4-3,Werder Bremen,4,3,0
123,16,1964-01-11,Hamburger SV,5-0,Preussen Münster,5,0,0
124,16,1964-01-11,1. FC Kaiserslautern,1-1,Eintracht Frankfurt,1,1,1
125,16,1964-01-11,1. FC Köln,1-3,1. FC Saarbrücken,1,3,2
126,16,1964-01-11,Eintracht Braunschweig,0-1,TSV 1860 München,0,1,2
127,17,1964-01-18,Werder Bremen,2-1,1. FC Nürnberg,2,1,0
128,17,1964-01-18,TSV 1860 München,6-1,Borussia Dortmund,6,1,0
129,17,1964-01-18,Karlsruher SC,2-2,1. FC Köln,2,2,1
130,17,1964-01-18,FC Schalke 04,4-0,1. FC Kaiserslautern,4,0,0
131,17,1964-01-18,Hertha BSC,0-2,VfB Stuttgart,0,2,2
132,17,1964-01-18,Preussen Münster,0-2,Eintracht Braunschweig,0,2,2
133,18,1964-01-25,Borussia Dortmund,3-0,FC Schalke 04,3,0,0
134,18,1964-01-25,1. FC Nürnberg,1-0,Eintracht Frankfurt,1,0,0
135,18,1964-01-25,Hamburger SV,1-1,Karlsruher SC,1,1,1
136,18,1964-01-25,1. FC Köln,2-2,TSV 1860 München,2,2,1
137,18,1964-01-25,VfB Stuttgart,2-0,Werder Bremen,2,0,0
138,18,1964-01-25,Eintracht Braunschweig,3-1,1. FC Saarbrücken,3,1,0
139,18,1964-01-25,MSV Duisburg,0-0,Preussen Münster,0,0,1
140,19,1964-02-01,FC Schalke 04,2-3,1. FC Köln,2,3,2
141,19,1964-02-01,Karlsruher SC,3-1,Eintracht Braunschweig,3,1,0
142,19,1964-02-01,Werder Bremen,2-0,1. FC Kaiserslautern,2,0,0
143,17,1964-02-08,1. FC Saarbrücken,1-1,Hamburger SV,1,1,1
144,19,1964-02-08,Preussen Münster,0-1,1. FC Nürnberg,0,1,2
145,18,1964-02-08,1. FC Kaiserslautern,3-0,Hertha BSC,3,0,0
146,16,1964-02-08,VfB Stuttgart,2-0,FC Schalke 04,2,0,0
147,17,1964-02-08,Eintracht Frankfurt,2-2,MSV Duisburg,2,2,1
148,20,1964-02-15,1. FC Köln,3-1,Hertha BSC,3,1,0
149,20,1964-02-15,VfB Stuttgart,0-3,Preussen Münster,0,3,2
150,20,1964-02-15,MSV Duisburg,1-0,Werder Bremen,1,0,0
151,20,1964-02-15,Eintracht Braunschweig,0-3,Eintracht Frankfurt,0,3,2
152,20,1964-02-15,1. FC Kaiserslautern,2-1,TSV 1860 München,2,1,0
153,20,1964-02-15,Hamburger SV,3-1,FC Schalke 04,3,1,0
154,20,1964-02-15,Borussia Dortmund,3-2,Karlsruher SC,3,2,0
155,20,1964-02-15,1. FC Nürnberg,2-0,1. FC Saarbrücken,2,0,0
156,21,1964-02-22,Werder Bremen,1-1,1. FC Köln,1,1,1
157,21,1964-02-22,1. FC Saarbrücken,0-1,VfB Stuttgart,0,1,2
158,21,1964-02-22,Eintracht Frankfurt,2-1,Borussia Dortmund,2,1,0
159,21,1964-02-22,Preussen Münster,1-0,1. FC Kaiserslautern,1,0,0
160,21,1964-02-22,Karlsruher SC,1-3,1. FC Nürnberg,1,3,2
161,21,1964-02-22,FC Schalke 04,2-0,Eintracht Braunschweig,2,0,0
162,21,1964-02-22,Hertha BSC,1-2,Hamburger SV,1,2,2
163,22,1964-02-29,1. FC Nürnberg,2-2,TSV 1860 München,2,2,1
164,22,1964-02-29,1. FC Köln,1-1,Eintracht Frankfurt,1,1,1
165,22,1964-02-29,VfB Stuttgart,4-1,Karlsruher SC,4,1,0
166,22,1964-02-29,1. FC Kaiserslautern,2-4,1. FC Saarbrücken,2,4,2
167,22,1964-02-29,MSV Duisburg,3-0,FC Schalke 04,3,0,0
168,22,1964-02-29,Borussia Dortmund,0-0,Preussen Münster,0,0,1
169,23,1964-03-07,Hertha BSC,0-0,Borussia Dortmund,0,0,1
170,23,1964-03-07,Eintracht Frankfurt,3-2,VfB Stuttgart,3,2,0
171,23,1964-03-07,1. FC Saarbrücken,0-2,MSV Duisburg,0,2,2
172,23,1964-03-07,Karlsruher SC,5-1,1. FC Kaiserslautern,5,1,0
173,23,1964-03-07,TSV 1860 München,9-2,Hamburger SV,9,2,0
174,23,1964-03-07,FC Schalke 04,4-1,1. FC Nürnberg,4,1,0
175,23,1964-03-07,Preussen Münster,0-2,1. FC Köln,0,2,2
176,23,1964-03-07,Werder Bremen,2-3,Eintracht Braunschweig,2,3,2
177,24,1964-03-14,1. FC Kaiserslautern,3-1,1. FC Nürnberg,3,1,0
178,24,1964-03-14,Borussia Dortmund,7-1,VfB Stuttgart,7,1,0
179,24,1964-03-14,Werder Bremen,1-0,FC Schalke 04,1,0,0
180,24,1964-03-14,MSV Duisburg,2-2,1. FC Köln,2,2,1
181,24,1964-03-14,TSV 1860 München,3-1,Preussen Münster,3,1,0
182,24,1964-03-14,Eintracht Frankfurt,4-0,Hertha BSC,4,0,0
183,24,1964-03-14,Eintracht Braunschweig,2-1,Hamburger SV,2,1,0
184,24,1964-03-14,Karlsruher SC,2-2,1. FC Saarbrücken,2,2,1
185,25,1964-03-21,1. FC Köln,4-1,Eintracht Braunschweig,4,1,0
186,25,1964-03-21,FC Schalke 04,1-2,Eintracht Frankfurt,1,2,2
187,25,1964-03-21,Hamburger SV,3-3,MSV Duisburg,3,3,1
188,25,1964-03-21,VfB Stuttgart,4-0,1. FC Kaiserslautern,4,0,0
189,25,1964-03-21,1. FC Saarbrücken,1-2,TSV 1860 München,1,2,2
190,25,1964-03-21,Preussen Münster,0-0,Karlsruher SC,0,0,1
191,25,1964-03-21,1. FC Nürnberg,4-0,Borussia Dortmund,4,0,0
192,19,1964-03-26,TSV 1860 München,1-1,VfB Stuttgart,1,1,1
193,22,1964-03-26,Hamburger SV,1-1,Werder Bremen,1,1,1
194,19,1964-03-27,Hertha BSC,5-2,MSV Duisburg,5,2,0
195,19,1964-03-30,1. FC Saarbrücken,2-1,Borussia Dortmund,2,1,0
196,19,1964-03-30,Eintracht Frankfurt,2-2,Hamburger SV,2,2,1
197,22,1964-03-30,Eintracht Braunschweig,1-1,Hertha BSC,1,1,1
198,21,1964-03-31,TSV 1860 München,0-0,MSV Duisburg,0,0,1
199,26,1964-04-04,1. FC Kaiserslautern,0-1,Borussia Dortmund,0,1,2
200,26,1964-04-04,Karlsruher SC,1-0,TSV 1860 München,1,0,0
201,26,1964-04-04,Preussen Münster,2-1,1. FC Saarbrücken,2,1,0
202,26,1964-04-04,1. FC Nürnberg,0-0,VfB Stuttgart,0,0,1
203,26,1964-04-04,Hertha BSC,1-0,FC Schalke 04,1,0,0
204,26,1964-04-04,Eintracht Frankfurt,7-0,Werder Bremen,7,0,0
205,26,1964-04-04,MSV Duisburg,5-1,Eintracht Braunschweig,5,1,0
206,26,1964-04-04,Hamburger SV,1-1,1. FC Köln,1,1,1
207,27,1964-04-11,1. FC Köln,5-0,1. FC Nürnberg,5,0,0
208,27,1964-04-11,Eintracht Braunschweig,0-1,1. FC Kaiserslautern,0,1,2
209,27,1964-04-11,FC Schalke 04,1-2,Preussen Münster,1,2,2
210,27,1964-04-11,TSV 1860 München,1-1,Eintracht Frankfurt,1,1,1
211,27,1964-04-11,VfB Stuttgart,2-2,Hamburger SV,2,2,1
212,27,1964-04-11,1. FC Saarbrücken,3-0,Hertha BSC,3,0,0
213,27,1964-04-11,Borussia Dortmund,0-0,MSV Duisburg,0,0,1
214,27,1964-04-11,Werder Bremen,0-0,Karlsruher SC,0,0,1
215,25,1964-04-15,Hertha BSC,5-2,Werder Bremen,5,2,0
216,28,1964-04-18,Hamburger SV,7-3,1. FC Kaiserslautern,7,3,0
217,28,1964-04-18,Karlsruher SC,1-1,Hertha BSC,1,1,1
218,28,1964-04-18,Preussen Münster,1-3,Eintracht Frankfurt,1,3,2
219,28,1964-04-18,1. FC Saarbrücken,3-2,Werder Bremen,3,2,0
220,28,1964-04-18,1. FC Köln,5-2,Borussia Dortmund,5,2,0
221,28,1964-04-18,MSV Duisburg,0-0,1. FC Nürnberg,0,0,1
222,28,1964-04-18,Eintracht Braunschweig,2-0,VfB Stuttgart,2,0,0
223,28,1964-04-18,TSV 1860 München,7-1,FC Schalke 04,7,1,0
224,29,1964-04-25,VfB Stuttgart,1-2,MSV Duisburg,1,2,2
225,29,1964-04-25,1. FC Kaiserslautern,3-3,1. FC Köln,3,3,1
226,29,1964-04-25,1. FC Nürnberg,1-0,Eintracht Braunschweig,1,0,0
227,29,1964-04-25,Hertha BSC,3-1,TSV 1860 München,3,1,0
228,29,1964-04-25,Werder Bremen,4-2,Preussen Münster,4,2,0
229,29,1964-04-25,Eintracht Frankfurt,3-1,1. FC Saarbrücken,3,1,0
230,29,1964-04-25,FC Schalke 04,2-1,Karlsruher SC,2,1,0
231,29,1964-05-05,Borussia Dortmund,5-2,Hamburger SV,5,2,0
232,30,1964-05-09,Eintracht Braunschweig,2-0,Borussia Dortmund,2,0,0
233,30,1964-05-09,Karlsruher SC,1-2,Eintracht Frankfurt,1,2,2
234,30,1964-05-09,1. FC Köln,2-1,VfB Stuttgart,2,1,0
235,30,1964-05-09,TSV 1860 München,3-2,Werder Bremen,3,2,0
236,30,1964-05-09,1. FC Saarbrücken,1-1,FC Schalke 04,1,1,1
237,30,1964-05-09,Preussen Münster,4-2,Hertha BSC,4,2,0
238,30,1964-05-09,MSV Duisburg,3-0,1. FC Kaiserslautern,3,0,0
239,30,1964-05-09,Hamburger SV,2-2,1. FC Nürnberg,2,2,1
240,1,1964-08-22,Borussia Dortmund,0-2,Hannover 96,0,2,2
241,1,1964-08-22,Hamburger SV,2-2,VfB Stuttgart,2,2,1
242,1,1964-08-22,1. FC Kaiserslautern,2-1,Werder Bremen,2,1,0
243,1,1964-08-22,1. FC Köln,2-3,Hertha BSC,2,3,2
244,1,1964-08-22,1. FC Nürnberg,2-0,Borussia Neunkirchen,2,0,0
245,1,1964-08-22,Eintracht Frankfurt,2-2,FC Schalke 04,2,2,1
246,1,1964-08-22,Eintracht Braunschweig,1-1,TSV 1860 München,1,1,1
247,1,1964-08-22,Karlsruher SC,2-1,MSV Duisburg,2,1,0
248,2,1964-08-29,VfB Stuttgart,3-1,1. FC Nürnberg,3,1,0
249,2,1964-08-29,Hannover 96,2-0,1. FC Köln,2,0,0
250,2,1964-08-29,Hertha BSC,0-0,Hamburger SV,0,0,1
251,2,1964-08-29,Borussia Neunkirchen,1-2,Borussia Dortmund,1,2,2
252,2,1964-08-29,MSV Duisburg,3-1,1. FC Kaiserslautern,3,1,0
253,2,1964-08-29,Werder Bremen,5-1,Eintracht Braunschweig,5,1,0
254,2,1964-08-29,TSV 1860 München,0-1,Eintracht Frankfurt,0,1,2
255,2,1964-08-29,FC Schalke 04,1-1,Karlsruher SC,1,1,1
256,3,1964-09-05,Eintracht Frankfurt,0-2,Werder Bremen,0,2,2
257,3,1964-09-05,Eintracht Braunschweig,0-1,MSV Duisburg,0,1,2
258,3,1964-09-05,1. FC Kaiserslautern,3-0,FC Schalke 04,3,0,0
259,3,1964-09-05,Karlsruher SC,1-5,TSV 1860 München,1,5,2
260,3,1964-09-05,1. FC Köln,4-3,Borussia Neunkirchen,4,3,0
261,3,1964-09-05,Hamburger SV,3-0,Hannover 96,3,0,0
262,3,1964-09-05,1. FC Nürnberg,2-0,Hertha BSC,2,0,0
263,3,1964-09-11,Borussia Dortmund,1-0,VfB Stuttgart,1,0,0
264,4,1964-09-12,VfB Stuttgart,3-3,1. FC Köln,3,3,1
265,4,1964-09-12,Hannover 96,2-2,1. FC Nürnberg,2,2,1
266,4,1964-09-12,MSV Duisburg,1-3,Eintracht Frankfurt,1,3,2
267,4,1964-09-12,TSV 1860 München,2-2,1. FC Kaiserslautern,2,2,1
268,4,1964-09-12,FC Schalke 04,0-3,Eintracht Braunschweig,0,3,2
269,4,1964-09-12,Werder Bremen,1-0,Karlsruher SC,1,0,0
270,4,1964-09-12,Borussia Neunkirchen,3-1,Hamburger SV,3,1,0
271,4,1964-09-12,Hertha BSC,0-0,Borussia Dortmund,0,0,1
272,5,1964-09-19,Eintracht Frankfurt,0-7,Karlsruher SC,0,7,2
273,5,1964-09-19,Eintracht Braunschweig,1-0,Borussia Neunkirchen,1,0,0
274,5,1964-09-19,1. FC Kaiserslautern,1-0,Hannover 96,1,0,0
275,5,1964-09-19,1. FC Köln,4-2,Werder Bremen,4,2,0
276,5,1964-09-19,VfB Stuttgart,1-1,Hertha BSC,1,1,1
277,5,1964-09-19,Hamburger SV,3-0,MSV Duisburg,3,0,0
278,5,1964-09-19,1. FC Nürnberg,3-2,FC Schalke 04,3,2,0
279,5,1964-09-19,Borussia Dortmund,1-1,TSV 1860 München,1,1,1
280,6,1964-09-26,Borussia Neunkirchen,0-3,1. FC Kaiserslautern,0,3,2
281,6,1964-09-26,TSV 1860 München,2-0,1. FC Nürnberg,2,0,0
282,6,1964-09-26,Werder Bremen,0-0,Hamburger SV,0,0,1
283,6,1964-09-26,MSV Duisburg,0-3,1. FC Köln,0,3,2
284,6,1964-09-26,FC Schalke 04,2-6,Borussia Dortmund,2,6,2
285,6,1964-09-26,Karlsruher SC,0-0,VfB Stuttgart,0,0,1
286,6,1964-09-26,Hertha BSC,1-3,Eintracht Frankfurt,1,3,2
287,6,1964-09-26,Hannover 96,2-2,Eintracht Braunschweig,2,2,1
288,7,1964-10-10,Borussia Neunkirchen,4-2,MSV Duisburg,4,2,0
289,7,1964-10-10,VfB Stuttgart,2-1,FC Schalke 04,2,1,0
290,7,1964-10-10,Hamburger SV,2-1,Eintracht Frankfurt,2,1,0
291,7,1964-10-10,1. FC Nürnberg,4-1,Karlsruher SC,4,1,0
292,7,1964-10-10,Borussia Dortmund,3-2,1. FC Kaiserslautern,3,2,0
293,7,1964-10-10,1. FC Köln,5-1,Eintracht Braunschweig,5,1,0
294,7,1964-10-10,Hertha BSC,2-1,TSV 1860 München,2,1,0
295,7,1964-10-10,Hannover 96,1-2,Werder Bremen,1,2,2
296,8,1964-10-17,TSV 1860 München,4-0,Hannover 96,4,0,0
297,8,1964-10-17,FC Schalke 04,3-0,Hertha BSC,3,0,0
298,8,1964-10-17,1. FC Kaiserslautern,3-2,1. FC Nürnberg,3,2,0
299,8,1964-10-17,Karlsruher SC,2-2,Hamburger SV,2,2,1
300,8,1964-10-17,MSV Duisburg,3-3,VfB Stuttgart,3,3,1
301,8,1964-10-17,Eintracht Braunschweig,0-1,Borussia Dortmund,0,1,2
302,8,1964-10-17,Werder Bremen,2-0,Borussia Neunkirchen,2,0,0
303,8,1964-10-17,Eintracht Frankfurt,1-4,1. FC Köln,1,4,2
304,9,1964-10-24,1. FC Köln,4-1,Karlsruher SC,4,1,0
305,9,1964-10-24,Borussia Neunkirchen,3-0,TSV 1860 München,3,0,0
306,9,1964-10-24,Hamburger SV,3-2,1. FC Kaiserslautern,3,2,0
307,9,1964-10-24,Hertha BSC,2-2,MSV Duisburg,2,2,1
308,9,1964-10-24,Borussia Dortmund,1-3,Eintracht Frankfurt,1,3,2
309,9,1964-10-24,1. FC Nürnberg,3-2,Eintracht Braunschweig,3,2,0
310,9,1964-10-24,VfB Stuttgart,1-1,Werder Bremen,1,1,1
311,9,1964-10-24,Hannover 96,1-0,FC Schalke 04,1,0,0
312,10,1964-11-07,Eintracht Frankfurt,1-1,1. FC Nürnberg,1,1,1
313,10,1964-11-07,Eintracht Braunschweig,2-0,Hamburger SV,2,0,0
314,10,1964-11-07,Karlsruher SC,2-0,Borussia Dortmund,2,0,0
315,10,1964-11-07,Werder Bremen,5-1,Hertha BSC,5,1,0
316,10,1964-11-07,FC Schalke 04,1-1,Borussia Neunkirchen,1,1,1
317,10,1964-11-07,1. FC Kaiserslautern,2-2,1. FC Köln,2,2,1
318,10,1964-11-07,MSV Duisburg,1-0,Hannover 96,1,0,0
319,10,1964-11-07,TSV 1860 München,1-0,VfB Stuttgart,1,0,0
320,11,1964-11-14,Hannover 96,3-2,Eintracht Frankfurt,3,2,0
321,11,1964-11-14,1. FC Köln,1-1,TSV 1860 München,1,1,1
322,11,1964-11-14,VfB Stuttgart,3-1,Eintracht Braunschweig,3,1,0
323,11,1964-11-14,Hertha BSC,5-3,1. FC Kaiserslautern,5,3,0
324,11,1964-11-14,Werder Bremen,2-2,FC Schalke 04,2,2,1
325,11,1964-11-14,1. FC Nürnberg,2-3,Hamburger SV,2,3,2
326,11,1964-11-19,Borussia Dortmund,0-0,MSV Duisburg,0,0,1
327,12,1964-11-21,FC Schalke 04,2-3,1. FC Köln,2,3,2
328,12,1964-11-21,Eintracht Braunschweig,1-1,Hertha BSC,1,1,1
329,12,1964-11-21,Karlsruher SC,2-3,Hannover 96,2,3,2
330,12,1964-11-21,TSV 1860 München,3-1,Werder Bremen,3,1,0
331,12,1964-11-21,MSV Duisburg,2-0,1. FC Nürnberg,2,0,0
332,12,1964-11-21,Hamburger SV,1-4,Borussia Dortmund,1,4,2
333,12,1964-11-21,Eintracht Frankfurt,1-0,Borussia Neunkirchen,1,0,0
334,12,1964-11-21,1. FC Kaiserslautern,2-1,VfB Stuttgart,2,1,0
335,13,1964-11-28,1. FC Köln,3-0,Hamburger SV,3,0,0
336,13,1964-11-28,Hertha BSC,2-1,Karlsruher SC,2,1,0
337,13,1964-11-28,Werder Bremen,1-0,MSV Duisburg,1,0,0
338,13,1964-11-28,Borussia Neunkirchen,2-1,Hannover 96,2,1,0
339,13,1964-11-28,VfB Stuttgart,1-2,Eintracht Frankfurt,1,2,2
340,13,1964-11-28,FC Schalke 04,2-2,TSV 1860 München,2,2,1
341,13,1964-11-28,1. FC Nürnberg,1-0,Borussia Dortmund,1,0,0
342,13,1964-11-28,Eintracht Braunschweig,2-0,1. FC Kaiserslautern,2,0,0
343,14,1964-12-05,Hamburger SV,3-2,TSV 1860 München,3,2,0
344,14,1964-12-05,Karlsruher SC,6-1,1. FC Kaiserslautern,6,1,0
