Unnamed: 0,matchday,date,home_team,final_result,away_team,home_goals,away_goals,winner,goal_difference,season_start_year,year,total_goals,home_recent_goals_scored_n3,home_recent_goals_conceded_n3,away_recent_goals_scored_n3,away_recent_goals_conceded_n3,home_recent_goals_scored_n5,home_recent_goals_conceded_n5,away_recent_goals_scored_n5,away_recent_goals_conceded_n5,home_recent_goals_scored_n10,home_recent_goals_conceded_n10,away_recent_goals_scored_n10,away_recent_goals_conceded_n10,previous_win,home_team_position,away_team_position,strength_difference,month
25,4,1963-09-14,1. FC Köln,2-2,FC Schalke 04,2,2,1,0,1963,1963,4,4.0,0.0,3.0,2.0,4.0,0.0,3.0,2.0,4.0,0.0,3.0,2.0,0,2.0,1.0,1.0,9
26,4,1963-09-14,1. FC Nürnberg,2-2,Preussen Münster,2,2,1,0,1963,1963,4,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0,3.0,6.0,-3.0,9
27,4,1963-09-14,Borussia Dortmund,2-1,1. FC Saarbrücken,2,1,0,1,1963,1963,3,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,1,10.0,14.0,-4.0,9
28,4,1963-09-14,Hamburger SV,3-0,Eintracht Frankfurt,3,0,0,3,1963,1963,3,4.0,2.0,1.0,3.0,4.0,2.0,1.0,3.0,4.0,2.0,1.0,3.0,0,3.0,15.0,-12.0,9
29,4,1963-09-14,VfB Stuttgart,1-1,TSV 1860 München,1,1,1,0,1963,1963,2,2.0,0.0,3.0,3.0,2.0,0.0,3.0,3.0,2.0,0.0,3.0,3.0,0,8.0,12.0,-4.0,9
30,4,1963-09-14,1. FC Kaiserslautern,3-0,Werder Bremen,3,0,0,3,1963,1963,3,2.0,3.0,0.0,3.0,2.0,3.0,0.0,3.0,2.0,3.0,0.0,3.0,0,10.0,11.0,-1.0,9
31,4,1963-09-14,Eintracht Braunschweig,2-0,Karlsruher SC,2,0,0,2,1963,1963,2,1.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,0,5.0,16.0,-11.0,9
37,5,1963-09-21,1. FC Saarbrücken,3-5,1. FC Nürnberg,3,5,2,2,1963,1963,8,2.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,0,14.0,1.0,13.0,9
39,5,1963-09-21,Hertha BSC,0-3,1. FC Köln,0,3,2,3,1963,1963,3,3.0,3.0,5.0,1.0,3.0,3.0,5.0,1.0,3.0,3.0,5.0,1.0,0,8.0,1.0,7.0,9
38,5,1963-09-21,FC Schalke 04,1-0,Hamburger SV,1,0,0,1,1963,1963,1,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,0,1.0,4.0,-3.0,9
36,5,1963-09-21,Preussen Münster,4-2,VfB Stuttgart,4,2,0,2,1963,1963,6,5.0,3.0,2.0,4.0,5.0,3.0,2.0,4.0,5.0,3.0,2.0,4.0,0,5.0,9.0,-4.0,9
35,5,1963-09-21,Karlsruher SC,1-3,Borussia Dortmund,1,3,2,2,1963,1963,4,1.0,8.0,3.0,6.0,1.0,8.0,3.0,6.0,1.0,8.0,3.0,6.0,0,16.0,7.0,9.0,9
34,5,1963-09-21,TSV 1860 München,3-0,1. FC Kaiserslautern,3,0,0,3,1963,1963,3,2.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,0,8.0,12.0,-4.0,9
33,5,1963-09-21,Werder Bremen,1-1,MSV Duisburg,1,1,1,0,1963,1963,2,5.0,4.0,6.0,5.0,5.0,4.0,6.0,5.0,5.0,4.0,6.0,5.0,1,10.0,8.0,2.0,9
32,5,1963-09-21,Eintracht Frankfurt,3-0,Eintracht Braunschweig,3,0,0,3,1963,1963,3,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,0,14.0,6.0,8.0,9
40,6,1963-10-05,Eintracht Braunschweig,4-3,FC Schalke 04,4,3,0,1,1963,1963,7,3.0,0.0,5.0,4.0,3.0,0.0,5.0,4.0,3.0,0.0,5.0,4.0,1,4.0,1.0,3.0,10
41,6,1963-10-05,Hamburger SV,5-1,Hertha BSC,5,1,0,4,1963,1963,6,7.0,2.0,3.0,3.0,7.0,2.0,3.0,3.0,7.0,2.0,3.0,3.0,1,3.0,11.0,-8.0,10
42,6,1963-10-05,1. FC Nürnberg,2-4,Karlsruher SC,2,4,2,2,1963,1963,6,5.0,2.0,0.0,6.0,5.0,2.0,0.0,6.0,5.0,2.0,0.0,6.0,0,4.0,15.0,-11.0,10
43,6,1963-10-05,VfB Stuttgart,3-1,1. FC Saarbrücken,3,1,0,2,1963,1963,4,3.0,1.0,3.0,6.0,3.0,1.0,3.0,6.0,3.0,1.0,3.0,6.0,1,7.0,16.0,-9.0,10
44,6,1963-10-05,Borussia Dortmund,3-0,Eintracht Frankfurt,3,0,0,3,1963,1963,3,5.0,4.0,1.0,6.0,5.0,4.0,1.0,6.0,5.0,4.0,1.0,6.0,0,6.0,14.0,-8.0,10
45,6,1963-10-05,1. FC Kaiserslautern,0-0,Preussen Münster,0,0,1,0,1963,1963,0,5.0,3.0,2.0,3.0,5.0,3.0,2.0,3.0,5.0,3.0,2.0,3.0,1,11.0,7.0,4.0,10
46,6,1963-10-05,1. FC Köln,4-3,Werder Bremen,4,3,0,1,1963,1963,7,6.0,2.0,0.0,6.0,6.0,2.0,0.0,6.0,6.0,2.0,0.0,6.0,0,1.0,12.0,-11.0,10
47,6,1963-10-05,MSV Duisburg,3-0,TSV 1860 München,3,0,0,3,1963,1963,3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,7.0,10.0,-3.0,10
55,7,1963-10-12,Preussen Münster,1-2,Borussia Dortmund,1,2,2,1,1963,1963,3,9.0,5.0,6.0,7.0,9.0,5.0,6.0,7.0,9.0,5.0,6.0,7.0,0,8.0,4.0,4.0,10
53,7,1963-10-12,1. FC Saarbrücken,2-4,1. FC Kaiserslautern,2,4,2,2,1963,1963,6,5.0,9.0,3.0,6.0,5.0,9.0,3.0,6.0,5.0,9.0,3.0,6.0,0,16.0,9.0,7.0,10
52,7,1963-10-12,FC Schalke 04,2-2,MSV Duisburg,2,2,1,0,1963,1963,4,6.0,1.0,7.0,6.0,6.0,1.0,7.0,6.0,6.0,1.0,7.0,6.0,0,2.0,6.0,-4.0,10
54,7,1963-10-12,Werder Bremen,4-2,Hamburger SV,4,2,0,2,1963,1963,6,6.0,5.0,5.0,2.0,6.0,5.0,5.0,2.0,6.0,5.0,5.0,2.0,0,10.0,3.0,7.0,10
50,7,1963-10-12,TSV 1860 München,5-0,1. FC Nürnberg,5,0,0,5,1963,1963,5,5.0,4.0,9.0,6.0,5.0,4.0,9.0,6.0,5.0,4.0,9.0,6.0,1,8.0,5.0,3.0,10
49,7,1963-10-12,Hertha BSC,1-2,Eintracht Braunschweig,1,2,2,1,1963,1963,3,3.0,6.0,3.0,6.0,3.0,6.0,3.0,6.0,3.0,6.0,3.0,6.0,0,13.0,3.0,10.0,10
48,7,1963-10-12,Eintracht Frankfurt,2-1,1. FC Köln,2,1,0,1,1963,1963,3,6.0,4.0,8.0,1.0,6.0,4.0,8.0,1.0,6.0,4.0,8.0,1.0,0,13.0,1.0,12.0,10
51,7,1963-10-12,Karlsruher SC,0-3,VfB Stuttgart,0,3,2,3,1963,1963,3,2.0,11.0,4.0,8.0,2.0,11.0,4.0,8.0,2.0,11.0,4.0,8.0,0,15.0,8.0,7.0,10
63,8,1963-10-19,VfB Stuttgart,0-0,Eintracht Frankfurt,0,0,1,0,1963,1963,0,6.0,2.0,1.0,9.0,6.0,2.0,1.0,9.0,6.0,2.0,1.0,9.0,0,6.0,13.0,-7.0,10
62,8,1963-10-19,Hamburger SV,5-0,TSV 1860 München,5,0,0,5,1963,1963,5,12.0,3.0,4.0,7.0,12.0,3.0,4.0,7.0,12.0,3.0,4.0,7.0,1,2.0,9.0,-7.0,10
60,8,1963-10-19,1. FC Köln,3-0,Preussen Münster,3,0,0,3,1963,1963,3,10.0,5.0,2.0,3.0,10.0,5.0,2.0,3.0,10.0,5.0,2.0,3.0,1,1.0,10.0,-9.0,10
61,8,1963-10-19,1. FC Nürnberg,0-2,FC Schalke 04,0,2,2,2,1963,1963,2,7.0,6.0,8.0,8.0,7.0,6.0,8.0,8.0,7.0,6.0,8.0,8.0,1,7.0,2.0,5.0,10
58,8,1963-10-19,1. FC Kaiserslautern,1-0,Karlsruher SC,1,0,0,1,1963,1963,1,5.0,3.0,4.0,8.0,5.0,3.0,4.0,8.0,5.0,3.0,4.0,8.0,0,7.0,15.0,-8.0,10
57,8,1963-10-19,Borussia Dortmund,7-2,Hertha BSC,7,2,0,5,1963,1963,9,8.0,4.0,4.0,8.0,8.0,4.0,4.0,8.0,8.0,4.0,4.0,8.0,0,4.0,14.0,-10.0,10
56,8,1963-10-19,Eintracht Braunschweig,1-1,Werder Bremen,1,1,1,0,1963,1963,2,7.0,3.0,3.0,10.0,7.0,3.0,3.0,10.0,7.0,3.0,3.0,10.0,0,5.0,10.0,-5.0,10
59,8,1963-10-19,MSV Duisburg,3-1,1. FC Saarbrücken,3,1,0,2,1963,1963,4,7.0,4.0,4.0,9.0,7.0,4.0,4.0,9.0,7.0,4.0,4.0,9.0,0,6.0,16.0,-10.0,10
70,9,1963-10-26,VfB Stuttgart,2-1,Borussia Dortmund,2,1,0,1,1963,1963,3,4.0,2.0,6.0,5.0,6.0,2.0,8.0,8.0,6.0,2.0,8.0,8.0,0,5.0,4.0,1.0,10
64,9,1963-10-26,1. FC Saarbrücken,1-3,Karlsruher SC,1,3,2,2,1963,1963,4,7.0,11.0,4.0,5.0,7.0,13.0,4.0,9.0,7.0,13.0,4.0,9.0,0,16.0,14.0,2.0,10
65,9,1963-10-26,Hertha BSC,1-3,Eintracht Frankfurt,1,3,2,2,1963,1963,4,3.0,7.0,0.0,6.0,4.0,8.0,1.0,9.0,4.0,8.0,1.0,9.0,1,15.0,9.0,6.0,10
66,9,1963-10-26,1. FC Nürnberg,0-5,1. FC Kaiserslautern,0,5,2,5,1963,1963,5,4.0,8.0,6.0,7.0,7.0,8.0,7.0,8.0,7.0,8.0,7.0,8.0,0,10.0,7.0,3.0,10
