home_team,away_team,season_start_year,month,predicted_winner,home_win_prob,draw_prob,away_win_prob
1. FC Heidenheim,Eintracht Frankfurt,2024,11,1,0.34348798,0.36377615,0.29273584
Werder Bremen,VfB Stuttgart,2024,11,2,0.3332301,0.3073539,0.35941598
SC Freiburg,Bor. Mönchengladbach,2024,11,0,0.72089833,0.2456823,0.033419337
FC Augsburg,VfL Bochum,2024,11,1,0.34440118,0.38025084,0.27534798
1. FC Union Berlin,Bayer 04 Leverkusen,2024,11,2,0.06201797,0.14379387,0.7941882
VfB Stuttgart,1. FC Union Berlin,2024,12,0,0.43582246,0.3308628,0.23331471
Bayern München,1. FC Heidenheim,2024,12,0,0.5527588,0.33121398,0.116027206
Eintracht Frankfurt,FC Augsburg,2024,12,0,0.7061071,0.24071203,0.053180844
VfL Wolfsburg,1. FSV Mainz 05,2024,12,1,0.2247551,0.42813954,0.34710535
Bor. Mönchengladbach,Borussia Dortmund,2024,12,2,0.17118673,0.3051744,0.5236389
VfL Bochum,Werder Bremen,2024,12,1,0.269157,0.39744624,0.33339673
RB Leipzig,Eintracht Frankfurt,2024,12,1,0.24600619,0.45053264,0.30346122
1. FC Heidenheim,VfB Stuttgart,2024,12,0,0.36130092,0.33725324,0.3014459
SC Freiburg,VfL Wolfsburg,2024,12,0,0.59494776,0.33691642,0.06813582
1. FSV Mainz 05,Bayern München,2024,12,2,0.21845101,0.28308985,0.4984591
1. FC Union Berlin,VfL Bochum,2024,12,1,0.37121907,0.44487587,0.18390508
FC Augsburg,Bayer 04 Leverkusen,2024,12,2,0.09870037,0.12293668,0.77836293
Bayer 04 Leverkusen,SC Freiburg,2024,12,0,0.63161236,0.27695835,0.09142927
Bayern München,RB Leipzig,2024,12,0,0.5775853,0.2947986,0.12761612
Eintracht Frankfurt,1. FSV Mainz 05,2024,12,1,0.18335298,0.5082361,0.30841094
Werder Bremen,1. FC Union Berlin,2024,12,1,0.3811431,0.3954775,0.2233794
VfL Wolfsburg,Borussia Dortmund,2024,12,1,0.26902667,0.38009134,0.35088202
VfL Bochum,1. FC Heidenheim,2024,12,1,0.2439326,0.38792083,0.36814654
RB Leipzig,Werder Bremen,2024,1,0,0.5981052,0.3038145,0.09808031
Borussia Dortmund,Bayer 04 Leverkusen,2024,1,2,0.24044605,0.29445392,0.46510005
1. FC Heidenheim,1. FC Union Berlin,2024,1,1,0.28191644,0.38034135,0.33774218
FC Augsburg,VfB Stuttgart,2024,1,2,0.18341704,0.33857682,0.47800612
1. FSV Mainz 05,VfL Bochum,2024,1,0,0.41428307,0.30822673,0.27749023
Bor. Mönchengladbach,Bayern München,2024,1,2,0.16218354,0.29139522,0.5464213
Bayer 04 Leverkusen,1. FSV Mainz 05,2024,1,2,0.3046582,0.31909683,0.37624493
VfB Stuttgart,RB Leipzig,2024,1,0,0.45513043,0.28823516,0.2566344
Eintracht Frankfurt,SC Freiburg,2024,1,1,0.4133079,0.4184784,0.16821367
Werder Bremen,1. FC Heidenheim,2024,1,1,0.35779345,0.4160952,0.22611135
VfL Wolfsburg,Bor. Mönchengladbach,2024,1,0,0.62929654,0.31305984,0.05764357
1. FC Union Berlin,FC Augsburg,2024,1,0,0.46828327,0.36962646,0.16209033
VfB Stuttgart,SC Freiburg,2024,1,0,0.40480375,0.34047556,0.2547207
Werder Bremen,FC Augsburg,2024,1,0,0.79868203,0.13266703,0.068650864
Bayern München,VfL Wolfsburg,2024,1,0,0.78046346,0.17048733,0.0490492
1. FC Union Berlin,1. FSV Mainz 05,2024,1,1,0.18276165,0.48846745,0.32877085
Bayer 04 Leverkusen,Bor. Mönchengladbach,2024,1,0,0.81868976,0.13353528,0.04777493
VfL Bochum,RB Leipzig,2024,1,1,0.34964746,0.37400147,0.27635103
Eintracht Frankfurt,Borussia Dortmund,2024,1,2,0.11693689,0.36967677,0.5133863
RB Leipzig,Bayer 04 Leverkusen,2024,1,2,0.2476899,0.24609305,0.50621706
1. FSV Mainz 05,VfB Stuttgart,2024,1,2,0.17980185,0.3114133,0.5087849
SC Freiburg,Bayern München,2024,1,1,0.24027556,0.39130932,0.36841512
FC Augsburg,1. FC Heidenheim,2024,1,1,0.38123977,0.40550178,0.21325845
Borussia Dortmund,Werder Bremen,2024,1,0,0.6092156,0.29771152,0.09307284
Bor. Mönchengladbach,VfL Bochum,2024,1,0,0.39444748,0.36978865,0.23576385
1. FC Union Berlin,RB Leipzig,2024,2,1,0.2348071,0.43879697,0.326396
1. FC Heidenheim,Borussia Dortmund,2024,2,2,0.17889354,0.31473726,0.50636923
VfL Bochum,SC Freiburg,2024,2,1,0.31797567,0.41907603,0.26294836
Eintracht Frankfurt,VfL Wolfsburg,2024,2,0,0.5036606,0.40934202,0.0869974
Werder Bremen,1. FSV Mainz 05,2024,2,2,0.1720863,0.36179662,0.46611705
VfB Stuttgart,Bor. Mönchengladbach,2024,2,0,0.72747517,0.21735217,0.055172626
VfL Wolfsburg,Bayer 04 Leverkusen,2024,2,2,0.16938044,0.21925724,0.61136234
Borussia Dortmund,VfB Stuttgart,2024,2,2,0.23990591,0.35882434,0.40126976
Bor. Mönchengladbach,Eintracht Frankfurt,2024,2,1,0.24994874,0.40297213,0.34707907
SC Freiburg,1. FC Heidenheim,2024,2,1,0.34147698,0.49855733,0.15996575
Bayern München,Werder Bremen,2024,2,0,0.7135458,0.22902545,0.057428733
1. FSV Mainz 05,FC Augsburg,2024,2,0,0.50815344,0.19211753,0.29972902
Bayer 04 Leverkusen,Bayern München,2024,2,0,0.49301204,0.22505596,0.28193197
FC Augsburg,RB Leipzig,2024,2,0,0.36908895,0.27413383,0.35677728
VfL Bochum,Borussia Dortmund,2024,2,2,0.16662668,0.39908728,0.43428606
VfB Stuttgart,VfL Wolfsburg,2024,2,0,0.7041241,0.23078558,0.06509031
1. FC Heidenheim,1. FSV Mainz 05,2024,2,2,0.15669551,0.40654767,0.43675685
1. FC Union Berlin,Bor. Mönchengladbach,2024,2,0,0.4637835,0.40729257,0.12892391
Bayern München,Eintracht Frankfurt,2024,2,1,0.34553736,0.3603143,0.29414833
RB Leipzig,1. FC Heidenheim,2024,2,1,0.3139791,0.4464862,0.23953477
SC Freiburg,Werder Bremen,2024,2,0,0.61067533,0.32739863,0.061926063
Bor. Mönchengladbach,FC Augsburg,2024,2,0,0.58464134,0.27861303,0.13674559
Borussia Dortmund,1. FC Union Berlin,2024,2,2,0.26462165,0.28858304,0.44679537
VfL Wolfsburg,VfL Bochum,2024,2,0,0.53753996,0.357119,0.10534106
Eintracht Frankfurt,Bayer 04 Leverkusen,2024,3,2,0.12302213,0.17726691,0.69971097
VfB Stuttgart,Bayern München,2024,3,0,0.4376723,0.27000675,0.292321
FC Augsburg,SC Freiburg,2024,3,0,0.414178,0.39814684,0.18767518
Werder Bremen,VfL Wolfsburg,2024,3,0,0.6953237,0.20823413,0.09644214
RB Leipzig,1. FSV Mainz 05,2024,3,1,0.14586915,0.46088058,0.39325026
1. FC Heidenheim,Bor. Mönchengladbach,2024,3,0,0.76296544,0.17830035,0.058734212
SC Freiburg,RB Leipzig,2024,3,1,0.2679209,0.41692087,0.3151582
Bayer 04 Leverkusen,Werder Bremen,2024,3,0,0.76453584,0.17759696,0.057867177
Borussia Dortmund,FC Augsburg,2024,3,0,0.826684,0.12491764,0.048398346
Bor. Mönchengladbach,1. FSV Mainz 05,2024,3,1,0.18608123,0.4228055,0.3911133
Eintracht Frankfurt,1. FC Union Berlin,2024,3,1,0.28411305,0.52285373,0.19303319
Bayern München,VfL Bochum,2024,3,0,0.64200974,0.2357931,0.12219712
VfB Stuttgart,Bayer 04 Leverkusen,2024,3,2,0.33875996,0.27568683,0.38555315
1. FC Union Berlin,Bayern München,2024,3,2,0.13081485,0.3866257,0.4825594
RB Leipzig,Borussia Dortmund,2024,3,2,0.23267561,0.2800646,0.48725978
VfL Bochum,Eintracht Frankfurt,2024,3,2,0.27139276,0.33826184,0.39034542
1. FSV Mainz 05,SC Freiburg,2024,3,1,0.33814266,0.45407236,0.20778503
FC Augsburg,VfL Wolfsburg,2024,3,0,0.516364,0.30187663,0.18175936
Werder Bremen,Bor. Mönchengladbach,2024,3,0,0.7476696,0.17596515,0.07636533
Eintracht Frankfurt,VfB Stuttgart,2024,3,2,0.19182432,0.36856866,0.43960705
Bor. Mönchengladbach,RB Leipzig,2024,3,2,0.29394597,0.34057504,0.365479
VfL Wolfsburg,1. FC Heidenheim,2024,3,1,0.37680596,0.41392553,0.20926857
Borussia Dortmund,1. FSV Mainz 05,2024,3,2,0.24243231,0.3343374,0.42323032
SC Freiburg,1. FC Union Berlin,2024,3,1,0.30745676,0.48894316,0.20360011
Bayer 04 Leverkusen,VfL Bochum,2024,3,0,0.676317,0.20061247,0.12307055
1. FC Heidenheim,Bayer 04 Leverkusen,2024,4,2,0.18376496,0.38538143,0.43085364
VfL Bochum,VfB Stuttgart,2024,4,2,0.22397271,0.30677927,0.46924803
FC Augsburg,Bayern München,2024,4,2,0.18508519,0.32086974,0.49404502
